#1,
auspicious,"Favorable; promising; pointing to a good result 길조의, 경사스런"
austere,"Unadorned; stern; forbidding; without excess 꾸밈이 없는, 간소한, 엄한, 준엄한, 엄격한"
autocratic,"Ruling with absolute authority; extremely bossy 독재적인 꾸밈이 없는, "
#13,
autonomous,"Acting independently 자율의, 자치의, 자주적인"
avarice,"Greed; excessive love of riches 탐욕, 허욕"
avow,"To claim; to declare boldly; to admit 공언하다, 솔직히 인정하다"
avuncular,"Like an uncle, especially a nice uncle 백부(숙부)의; 삼촌"
awry,Off course; twisted to one side 굽어서; 잘못되어; 휘어서; 틀려서
axiom,"Self-evident rule or truth; a widely accepted saying 원리, 이치, 공리, 격언"
#14,
banal,"Unoriginal; ordinary 평범한, 진부한"
bane,"Poison; torment; cause of harm 독, 해악, 파멸의, 원인"
bastion,"Stronghold; fortress; fortified place 요새(본거지), 능보"
beget,"To give birth to; to create; to lead to; to cause 아이를 낳다, 생기게 하다"
belabor,"To go over repeatedly or to an absurd extent  세게 때리다, 공격하다, 호되게 꾸짖다, 욕하다, 조롱하다"
beleaguer,"To surround; to besiege; to harass 에워싸다, 포위하다, 괴롭히다"
belie,"To give a false impression of; to contradict 거짓 전하다, 속이다, 숨기다"
belittle,"To make to seem little; to put someone down  작게 하다, 경시하다, 과소평가하다"
#15,
belligerent,"Combative; quarrelsome; waging war  교전중인, 호전적인, 싸우기 좋아하는; 교전국, 싸움 상대, 적"
bemused,"Confused; bewildered 멍하게 하다, ...의 마음을 사로잡다"
benefactor,"One who provides help, especially in the form of a gift or donation  은인, 후원자, 기부하는 사람"
benevolent,"Generous; kind; doing good deeds 인정이 많은, 자비로운, 선의의, 호전적인"
benign,"Gentle; not harmful; kind; mild 온화한, 친절한, 자비로운, 자상한"
#16,
bequest,"Something left to someone in a will 유산, 유물, 유증"
bereaved,"Deprived or left desolate, especially through death [죽음을 통하여 생명, 희망 등을]빼앗기다, 황량해지다"
beset,"Harass; to surround 에워싸다, 포위하다; 괴롭히다"
blasphemy,"Irreverence; an insult to something held sacred; profanity 신성모독, 불경"
blatant,"Unpleasantly or offensively noisy; glaring  소란스러운, 몹시 떠들썩한, 뻔뻔스러운"
#17,
blight,"Disease in plants; anything that injures or destroys  식물의 고조병, 충해; 악화, 황폐"
blithe,"Carefree; cheerful 즐거운, 명랑한, 경솔한"
bourgeois,"Middle class, usually in a pejorative sense; boringly conventional 중산계급, 자본가, 부르조아; 고상하지 못한, 속물적인"
bovine,"Cow related; cowlike  cf)canine, equine, feline, piscine, porcine, ursine 소의, 소 같은; 둔한, 둔감한"
brevity,"Briefness 간결, 간략, 짧음"
broach,"To open up a subject for discussion, often a delicate subject 끄집어내다, 화제 등을 입밖에 내다"
bucolic,"Charmingly rural; rustic; countrylike 목가적인, 양치기의, 소박한; 목가, 전원시"
bureaucracy,"A system of government administration consisting of numerous bureaus or offices, especially one run according to inflexible and inefficient rules; any large administrative system characterized by inefficiency, lots of rules, and red tape 관료정치(제도, 주의)"
burgeon,"To expand; to flourish 성장하다, 갑자기 커지다"
burlesque,"A ludicrous, mocking, or exaggerated imitation  광시, 해학극, 익살극, 풍자문, 풍자시"
#18,
cacophony,"Harsh-sounding mixture of words, voices, or sounds  불협화음, 불쾌한 음조, 소음"
cadence,"Rhythm, the rise and fall of sounds 운율, 억양, 가락"
cajole,"To persuade someone to do something he or she doesnt want to do 부추기다; 감언이설로 속이다, 꾀다"
callow,"Immature 아직 깃털이 나지 않은, 풋내기의"
candor,"Truthfulness; sincere honesty 정직, 공평무사"
Capitalism,Free enterprise 자본주의
capitulate,"To surrender; to give up or give in 항복하다, 성을 내어 주다"
capricious,"Unpredictable; like to change at any moment  변덕스런, 마음이 변하기 쉬운, 불규칙한"
caricature,"A portrait or description that is purposely distorted or exaggerated, often to prove some point about its subject 만화, 풍자만화, 풍자한 글"
castigate,"To criticize severely; to chastise  가책하다, 혹평하다; 징계하다; 고치다, 첨삭하다"
catalyst,"In chemistry,~; anyone or anything that makes something happen without being directly involved in it 촉매, 촉진제"
#19,
categorical,"Unconditional; absolute 절대적인, 무조건의 단언적인; 범주에 속하는, 분류의"
catharsis,"Purification that brings emotional relief or renewal 정화, 카타르시스"
catholic,"Universal; embracing everything [관심, 흥미, 취미가] 광범위한, 보편적인; 관대한, 마음이 넓은"
caustic,"Like acid; corrosive 부식성의, 신랄한, 통렬한"
celibacy,"Abstinence from sex 독신, 독신생활, 금욕"
censure,"To condemn severely for doing something bad  비난하다, 나무라다, 혹평하다, 견책하다"
cerebral,"Brainy; intellectually refined 대뇌의, 뇌리; 지적인, 지성에 호소하는"
chagrin,"Humiliation; embarrassed disappointment 유감, 원통함, 부함"
charisma,"A magical-seeming ability to attract followers or inspire loyalty  재능, 권능; 권위, 비상한 매력"
#20,
charlatan,"Fraud; quack; con man 지독한 허풍선이, 엉터리의; 돌팔이 의사"
chasm,"A deep, gaping hole; a gorge 깊게 갈라진 틈, 금, 균열; 단절, 결합; 차이, 불화"
chastise,"To inflict punishment on; to discipline 응징하다, 징벌하다; 몹시 비난하다"
chicanery,"Trickery; deceitfulness; artifice; especially legal or political 꾸며댐, 발뺌, 속임수"
chimera,"An illusion; a foolish fancy 망상, 괴물"
choleric,"Hot-tempered; quick to anger 성마른, 화 잘 내는"
chronic,"Constant; lasting a long time; inveterate 만성의 고질적인, 오래 끄는"
chronicle,"A record of events in order of time; a history 연대, 편년사, 기록"
#21,
circuitous,"Roundabout; not following a direct path 우회의, 에두르는, 완곡한"
circumlocution,"An indirect expression; use of wordy or evasive language  완곡한 표현, 넌지시 하는 말, 핑계"
circumscribe,"To draw a line around; to set the limits; to define; to restrict. ..의 둘레에 선을 긋다, 경계선을 긋다; 제한하다, 한계를 정하다; 외접하다"
circumspect,"Cautious 신중한, 용의주도한, 주의 깊은"
circumvent,"To frustrate as though by surrounding  우회하다, 교묘하게 회피하다; 앞지르다, 선수치다; 포위하다"
civil,"Polite; civilized; courteous 시민의, 민간의"
clemency,"Mercy; forgiveness; mildness(기후의) 온화; 관대, 인정많은"
clich  ,"An overused saying or idea 진부한 표현, 상투적인 문구"
clique,"An exclusive group bound together by  some shared quality or interest 도당, 파벌"
#22,
coalesce,"To come together as one; to fuse; to unite 연합하다, 유착하다; 연합시키다"
coerce,"To force someone to do or not to do something 지배하다, 강제하다, 강요하다"
cogent,"Powerfully convincing 유력한, 사람을 수긍시키는"
cognitive,"Dealing with how we know the world around us through our senses; mental 인식의, 인식력이 있는"
cognizant,"Aware; conscious 인식하고 있는, 알고 있는"
coherent,"Holding together; making sense 일관된, 조리가 서는; 응집성의, 밀착한"
colloquial,Conversational; informal in language 구어체
collusion,"Conspiracy; secret cooperation 공모, 결탁"
commensurate,"Equal; proportionate 같은 양의, 같은 시간의; 균형 잡힌"
compelling,"Forceful; causing to yield...하지 않을 수 없는, 강제적인"
compendium,"A summary; an abridgment 개략, 요약, 일람표"
#23,
complacent,"Self-satisfied; overly pleased with oneself; contented to a fault 자기 만족의, 은근한, 마음에 흡족한"
complement,"To complete or fill up; to be the perfect counterpart  보충하여 완전케하다, 보완하다, 보충하다"
complicity,"Participation in wrongdoing; the act of being an accomplice 공모, 연루, 공범"
comprehensive,"Covering or including everything 포괄적인, 넓은; 이해력이 있는, 이해가 빠른"
comprise,"To consist of; to be composed of cf) constitute, compose 포함하다, 품다, 의미하다; 구성되다, 성립되다"
conciliatory,"Making peace; attempting to resolve a dispute through goodwill 타협적인, 융화적인, 회유적인"
concise,"Brief and to the point; succinct 간결한, 간명한"
#24,
concord,"Harmony; agreement 의견의 일치, 화합, 협조; 협정"
concurrent,"Happening at the same time; parallel 동시에 일어나는, 협동의"
condescend,"To stoop to someone elses level, usually in an offensive way; to patronize 겸손하게 굴다, 자신을 낮추다"
condone,"To overlook; to permit to happen 용서하다, 묵과하다"
conducive,"Promoting 도움이 되는, 이바지하는"
confluence,"A flowing together, especially of rivers; place where they begin to flow together 합류, (사람 등의) 집합, 군중"
congenial,"Agreeably suitable; pleasant 같은 성질의, 마음에 맞는, 적합한, 붙임성 있는"
congenital,"A trait or condition acquired between conception and birth; innate 선천적인, 타고난"
#25,
conjecture,"To guess; to deduce or infer on slight evidence  추측하다, 짐작으로 말하다; 억측/판독하다"
conjure,"To summon or bring into being as if by magic 마술로 ...하다, 마음속에 그려내다, (영혼을)불러내다"
connoisseur,"An expert, particularly in matter of art or taste (미술품 등의) 감정가, 가식가"
consecrate,"To make or declare sacred 신성하게 하다, 정화하다, 전념하다, 봉헌하다"
consensus,"Unanimity or general agreement 일치, 여론, 교감"
consonant,"Harmonious; in agreement 조화하는, 일치하는; 협화음의"
#26,
construe,"To interpret 해석하다, 추론하다"
consummate,"Perfect; complete; supremely skillful  완성한, 완성된, 순전한; 터무니없는, 엄청난; 완성하다, 성취하다"
contentious,"Argumentative; quarrelsome 다투기 좋아하는, 논쟁을 불러일으키는; 소송의"
contiguous,"Side by side; adjoining 접촉하는, 인접하는, 근접한"
contingent,"Dependent; possible 불시의, 우연의; ...조건으로 하는, 불확실한, 있을 수 있는"
contrite,"Admitting guilt; especially feeling remorseful 회개한, 회한의"
contrived,"Artificial; labored 고안한, 발명한"
conventional,"common; customary; unexceptional  전통적인, 인습적인; 협정상의; 형식적인, 상투적인"
convivial,"Fond of partying; festive 환락의, 연회의; 명랑한"
copious,"Abundant; plentiful 풍부한, 지식이 풍부한; 대량의"
#27,
corollary,"something that follows; a natural consequence 추론, 당연한 결과"
corroborate,"to confirm; to back up with evidence 확실히 하다, 입증하다; 확인하다"
cosmopolitan,"at home in many places or situations; internationally sophisticated 전 세계적인, 세계주의의, 전세계적으로 분포하는"
countenance,"face; facial expression, especially an encouraging one 용모, 생김새, 안색, 표정; 후원, 지지; 냉정, 침착"
coup,"a brilliant victory or accomplishment; the violent overthrow of a government by a small internal group 쿠데타, 타격; 대성공, 큰 히트"
covenant,"a solemn agreement; a contract; a pledge  계약, 서약, 맹약; 계약의 부대 조항, 날인 증서(계약)"
covert,"secret; hidden 비밀의, 암암리의, 덮여 있는, 사람 눈에 띄지 않는"
covet,"to wish for enviously 탐내다, 선망하다; 갈망하다, 열망하다"
#28,
credulous,"eager to believe; gullible  쉽게 믿는, 겸손하게 믿어 버리는, 속아넘어가기 쉬운"
criterion,"standard;basis for judgment 표준, 기준 규범"
cryptic,"mysterious; mystifying  비밀의, 수수께끼같은, 신비스러운(mysterious); 몸을 숨기기에 알맞은"
culinary,"relating to cooking or the kitchen 요리용의, 주방의"
culminate,"to climax; to reach full effect  정점에 이르다, 자오선상에 이르다, 끝나게 하다"
#29,
culpable,"deserving blame; guilty 비난할 만한, 과실이 있는, 유죄의, 괘씸한"
cursory,"hasty; superficial 엉성한, 피상적인, 대강대강한"
curtail,"to shorten; to cut short 간략하게 하다, 절감하다, ...에게서 일부를 빼앗다"
cynic,"one who deeply distrusts human nature; one who believes humans are motivated only by selfishness 냉소하는 사람, 비고는 사람, 빈정대는 사람"
#30,
daunt,"to make fearful; to intimidate...의 기세를 꺾다, 으르다, 주춤하게 하다"
dearth,"lack; scarcity 부족, 결핍; 기근"
debacle,"violent breakdown; sudden overthrow; overwhelming defeat  강 얼음의 깨짐, 시세의 폭락, 와해, 패주; 대홍수"
debauchery,"wild living; excessive intemperance  방탕, 도락, 주색에 빠짐; 유흥, 야단법석, 난행"
debilitate,to weaken; to cripple 쇠약하게 하다
decadent,"decaying or decayed, especially in terms of morals  쇠퇴기에 접어든, 퇴폐적인"
decimate,to kill or destroy a large part of 많은 사람을 죽이다; 10분의 1을 제거하다
decorous,"proper; in good taste; orderly  예의 바른, 점잖은; 단정한; 기품이 있는, 근엄한"
deduce,"to conclude from evidence; to infer  연역하다, 추론하다; 유래를 찾다, 가계를 더듬다"
defame,"to libel or slander; to ruin the good name of 명예를 훼손하다, 비방하다"
#31,
deference,"submission to anothers will; respect; courtesy 복종, 존경, 경의"
definitive,"conclusive; providing the last word  결정적인, 최후적인; 일정한, 명확한; 한정된"
degenerate ,"to break down; to deteriorate  퇴보하다, 나빠지다; 타락하다; 퇴화하다; 변질하다"
deleterious,"harmful 해로운, 유독한"
delineate,"to describe accurately; to draw in outline 윤곽을 그리다, 묘사하다"
delude,"to deceive 속이다, 속이어 ...시키다; 속여서 믿게 만들다"
deluge,"a flood; an inundation 대홍수, 범람, 호우; (방문객, 편지 등의)쇄도"
demagogue,"a leader of the people, but more a rabble rouser 선동자, 선동 정치가"
denizen,"inhabitant 주민, 거주자; 귀화인, 국적 취득자, 서식 동물"
depravity,"extreme wickedness or corruption 부패, 악행, 비행"
deprecate,"to express disapproval of 비난하다, 반대하다, 불찬성을 주장하다"
deride,"to ridicule; to laugh at contemptuously 조롱하다, 비웃다"
#32,
derogatory,"disapproving; degrading 손상시키는, 가치를 떨어뜨리는; 경멸적인"
desiccate,"to dry out 건조시키다, 말려서 보존하다"
despondent,"extremely depressed; full of despair 낙담한, 기운없는"
despot,"an absolute ruler; an autocrat 독재자, 폭군, 전체군주"
destitute,"extremely poor; utterly lacking 빈곤한, 결핍한"
desultory,"without a plan or purpose; disconnected; random  산만한, 일관성 없는; 탈선적인, 주제를 벗어난"
dialectical,"relating to discussions; relating to the rules and methods of reasoning; approaching truth in the middle of opposing extremes 방언의, 변증법의"
dictum,"an authoritative saying; an adage; a maxim; a proverb  격언, 금언; 공식 견해, 언명"
didactic,"intended to teach; morally instructive; pedantic  가르치기 위한, 교훈적인"
diffident,"timid; lacking in self-confidence 자신 없는, 사양하는; 겂많은, 내성적인, 수줍은"
digress,"to stray from the main subject  본제를 벗어나다, 지엽으로 흐르다, 탈선하다"
dilettante,"someone with superficial knowledge of the arts; an amateur; a dabbler 아마추어 애호가, 어설픈 지식을 가진 사람"
#33,
discern,"to have insight; to see things clearly, to discriminate; to differentiate 분별하다, 식별하다, 인식하다"
discreet,"prudent; judiciously reserved 분별있는, 생각이 깊은"
discrete,"unconnected; separate; distinct  별개의, 구별된, 떨어져 있는, 불연속성의, 개별의"
discriminate,"to notice or point out the difference between two or more things; to discern; to differentiate 구별하다, 판별하다; 차별하다"
disdain,"arrogant scorn; contempt 경멸, 모멸, 오만"
Disinterested,"not taking sides; unbiased  무관심한, 냉담한; 사욕이 없는, 청렴한; 공평무사한"
Disparage,"to belittle; to say uncomplimentary things about, usually in a somewhat indirect way 얕보다, 깔보다; 비방하다, 명예를 해치다"
#34,
Disparate,"different; incompatible; unequal 본질적으로 다른, 공통점이 없는"
Disseminate,"to spread the seeds of something; to scatter; to make widely known 선전하다, 널리 흩뿌리다; 보급하다, 퍼뜨리다"
Dissipate,"to thin out, drift away, or dissolve; to cause to thin out, drift away, or dissolve; to waste or squander  흩뜨리다, 방산하다, 낭비하다, 일소하다"
Dissolution,the breaking up or dissolving of something into parts; disintegration
Distend,"용해, 분해; 해산, 소멸, 사멸 to swell; to extend a great deal 부풀리다, 팽창시키다; 과장시키다"
Distinguish,"to tell apart; to cause to stand out  구별하다, 분별하다; 눈에 띄게 하다"
Docile,"easily taught; obedient; easy to handle  유순한, 온순한, 착한; 가르치기 쉬운, 다루기 쉬운"
Doctrinaire,"inflexibly committed to a doctrine or theory without regard to its practicality; dogmatic 공론적인, 교조주의의"
Dogmatic,"arrogantly assertive of unproven ideas; stubbornly claiming that something (often a system of beliefs) is beyond dispute 독단적인, 고압적인; 교의의, 교리의"
Domestic,"having to do with the household or family; not foreign  가정의, 집의; 국내의, 자국의; 국산의; 길들여진"
#35,
dormant,"A  inactive; as though asleep; asleep 잠자는, 동면의, 잠복의, 휴지한, 놀고있는 ~volcano, ~window"
dubious,"A  full of doubt; uncertain 의심스러운, 수상한, 미결정의, 모호한 가치, 진실성이 불확실한, a ~ friend, be ~ about  cf) dubitable"
duplicity,"N  the act of being two-faced; double-dealing; deception 표리부동, 불성실, 사기, 이중, 중복 cf) duplication 복제, duplicate a복사의 n사본 v"
#36,
ebullient,"A  boiling; bubbling with excitement; exuberant;  비등하는, 원기왕성한, 열광한 n ebullience,-cy  n ebullition 비등, 감정의 격발, 전쟁의 돌발"
eccentric,"A  not conventional; a little kooky; irregular  보통과 다른, 괴상한; 편심의; (기계)편심률  N 괴짜, 기인; 이심원; (천문) 이심권"
eclectic,"A  choosing the best from many sources; drawn from many sources  취사선택하는, 절충하는 n 절충주의자  cf) eclecticism 절충학파 "
edify,"Vt  to enlighten; to instruct, especially in moral or religious matters 교화(훈도)하다;  cf)edifying 교훈이 되는, 유익한 "
efface,"Vt  to erase; to rub away the features of 지우다, 말살하다, eclipse Cf ) effaceable, effacement"
effusion,"N  a pouring forth 유출(물), 스며나옴, 심정의 토로, 토로한 말(시문) Effuse v 발산(유출)하다  Effusive a 과장된, 쏟아져나오는, 넘치는"
egalitarian,A  believing in the social and economic equality of all people 평등주의의 / N 평등주의자
egocentric,"A  selfish; believing that one is the center of everything 자기중심의, 이기주의적인, n 이기주의자 egoism 이기주의 egoistic, -tical 이기적인"
egregious,"A  extremely bad; flagrant 엄청난, 터무니없는, 엉터리없는 (옛) 뛰어난 "
#37,
elicit,"Vt  to bring out; to call forth 이끌어내다, 유도해내다, ~a laugh from,  ~a reply  elicitation n"
elliptical,Adj  oval; missing a word or words; obscure 타원의 (문법) 생략의  Ellipsis (문법) 생략   ellipsoid (수학) 타원
elusive,"Adj  hard to pin down; evasive 교묘히 빠지는, 도피하는, 잘 잊는, 알 수 없는 elude V  elusion 속임수, 회피, 핑계, 발뺌 "
emigrate,"V  to move to a new country; to move a new place to live; to expatriate 타국으로 이주하다   emigrant a 이민의, n 이민, 이주민 opps immigrate"
empirical,"Adj  relying on experience or observation; not merely theoretical 경험의, 경험적인, 실험 관찰에 의한; 돌팔이 의사같은  ~philosophy 경험철학 Empiricism 경험주의 (철) 경험론"
#38,
emulate,"Vt  to strive to equal or excel, usually through imitation 우열을 다투다, 겨루다, 열심히 흉내내다, 에 필적하다 emulator 경쟁자, emulation 경쟁 emulous 경쟁적인  be emulous of 을 열심히 모방하다"
encroach,"Vi  to make gradual or stealthy inroads into; to trespass  침입하다, 잠식하다(on, upon) 침식하다, 빼앗다 "
endemic,"A  native; restricted to a particular region or era; indigenous  한 지방의 고유한, 풍토의, 풍토병의 n 풍토병  endemicity 풍토성"
enervate,"V  to reduce the strength or energy of, especially to do so gradually  원기를 빼앗다, 쇠약하게 하다 a 기운없는, 힘없는 박력없는 "
enfranchise,"V  to grant the privileges of citizenship, especially the right to vote  선거권을 주다; 도시에 자치권을 주다; 해방하다 ment 공민권의 부여"
engender,"V  to bring into existence; to create; to cause 발생시키다, 일으키다 produce; 일어나다; 아버지 자식을 얻다 ment 초래, 야기"
enigma,"N  a mystery 수수께끼(riddle), 수수께끼 인물 "
enormity,"N  extreme evil; a hideous offense; immensity 무도, 극악, 흉행, 범죄행위  "
ephemeral,"A  lasting a very short time 하루밖에 안가는, 단명한, 덧없는 "
#39,
epigram,"N  a brief and usually witty or satirical saying  경구, 풍자시"
epitome,"N  a brief summary that captures the meaning of the whole; the perfect example of something; a paradigm 개요, 요약, 축도, 줄거리; 발췌"
equanimity,"N  composure; calm  냉정, 침착"
equitable,"Adj  fair  공정한, 공평한, 이치에 닿는"
equivocal,"Adj  ambiguous; intentionally confusing; capable of being interpreted in more than one way 모호한, 의심스런, 분명하지 않은"
erudite,"Adj  scholarly; deeply learned  박식한, 유식한; 서적 등의 학문적인"
#40,
esoteric,"Adj  hard to understand; understood by only a select few; peculiar 심원한, 난해한, 비법의, 비밀의"
espouse,"V  to support; to advocate  지지하다, 옹호하다"
ethereal,"Adj  heavenly, as light and insubstantial as a gas or ether 천상의(heavenly), 공기같은, 가벼운"
euphemism,N  a pleasant or inoffensive expression used in place of an unpleasant or offensive one  완곡어법
evanescent,"Adj  fleeting; vanishing; happening for only the briefest period 차츰 사라지는, 덧없는"
exacerbate,"V  to make worse 병 등을 악화시키다, 더하게 하다; 신경질나게 하다"
exacting,"Adj  extremely demanding; difficult; requiring great skill or care 엄한,가혹한,착취적인,힘든"
